sep=,
model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,totalChanges,correspondence
/model89/original,0,0,2,3,1,0,6,0.8362068965517242
/model89/original,0,0,2,3,1,1,7,0.8508771929824561
/model89/original,0,0,2,3,1,2,8,0.808695652173913
/model89/original,0,0,2,3,1,3,9,0.8521739130434782
/model89/original,0,0,2,3,2,0,7,0.8340425531914893
/model89/original,0,0,2,3,2,1,8,0.8362068965517242
/model89/original,0,0,2,3,2,2,9,0.8189655172413793
/model89/original,0,0,2,3,2,3,10,0.8347826086956522
/model89/original,0,0,2,3,3,0,8,0.847457627118644
/model89/original,0,0,2,3,3,1,9,0.8484848484848485
/model89/original,0,0,2,3,3,2,10,0.8326180257510729
/model89/original,0,0,2,3,3,3,11,0.808695652173913
/model89/original,0,0,3,0,0,0,3,0.9427312775330396
/model89/original,0,0,3,0,0,1,4,0.9427312775330396
/model89/original,0,0,3,0,0,2,5,0.9380530973451328
/model89/original,0,0,3,0,0,3,6,0.9285714285714286
/model89/original,0,0,3,0,1,0,4,0.9432314410480349
/model89/original,0,0,3,0,1,1,5,0.933920704845815
/model89/original,0,0,3,0,1,2,6,0.9244444444444444
/model89/original,0,0,3,0,1,3,7,0.933920704845815
/model89/original,0,0,3,0,2,0,5,0.9482758620689655
/model89/original,0,0,3,0,2,1,6,0.9292035398230089
/model89/original,0,0,3,0,2,2,7,0.9099099099099099
/model89/original,0,0,3,0,2,3,8,0.9251101321585903
/model89/original,0,0,3,0,3,0,6,0.9203539823008849
/model89/original,0,0,3,0,3,1,7,0.9396551724137931
/model89/original,0,0,3,0,3,2,8,0.9298245614035088
/model89/original,0,0,3,0,3,3,9,0.9298245614035088
/model89/original,0,0,3,1,0,0,4,0.9210526315789473
/model89/original,0,0,3,1,0,1,5,0.9344978165938864
/model89/original,0,0,3,1,0,2,6,0.9049773755656109
/model89/original,0,0,3,1,0,3,7,0.9066666666666666
/model89/original,0,0,3,1,1,0,5,0.9304347826086956
/model89/original,0,0,3,1,1,1,6,0.9017857142857143
/model89/original,0,0,3,1,1,2,7,0.9026548672566371
/model89/original,0,0,3,1,1,3,8,0.8695652173913043
/model89/original,0,0,3,1,2,0,6,0.9257641921397379
/model89/original,0,0,3,1,2,1,7,0.8859649122807017
/model89/original,0,0,3,1,2,2,8,0.8609865470852018
/model89/original,0,0,3,1,2,3,9,0.9035087719298246
/model89/original,0,0,3,1,3,0,7,0.9012875536480687
/model89/original,0,0,3,1,3,1,8,0.9137931034482758
