model,mutations,GED, CNE, Jaccard, W-GED, LCS,,1,Pearson,R^2
Process101,4,0.948275862,0.948275862,0.91952381,0.979445652,0.665,,,,
Process101,4,0.972972973,0.972972973,0.956493506,0.989360465,0.725,,,,
Process101,5,0.773109244,0.773109244,0.827280702,0.962869565,0.67,,,,
Process101,5,0.892857143,0.892857143,0.920738636,0.980139535,0.685,,,,
Process101,5,0.886956522,0.886956522,0.854891304,0.966382222,0.635,,,,
Process101,5,0.828828829,0.828828829,0.873279221,0.9756,0.515,,,,
Process101,5,0.862068966,0.862068966,0.840375,0.965476596,0.585,,,,
Process101,5,0.905982906,0.905982906,0.894746377,0.975202174,0.59,,,,
Process101,5,0.852173913,0.852173913,0.812625,0.955708696,0.69,,,,
Process101,5,0.717948718,0.717948718,0.842329526,0.963942222,0.47,,,,
Process101,5,0.871794872,0.871794872,0.82308676,0.95996875,0.58,,,,
Process101,5,0.918918919,0.918918919,0.85947205,0.968790698,0.65,,,,
Process101,5,0.672268908,0.672268908,0.742845696,0.940652083,0.615,,,,
Process101,5,0.727272727,0.727272727,0.774839744,0.94471875,0.54,,,,
Process101,5,0.907563025,0.907563025,0.889377289,0.976395652,0.6,,,,
Process101,5,0.920353982,0.920353982,0.891304348,0.977125,0.635,,,,
Process101,5,0.902654867,0.902654867,0.868067227,0.967873333,0.51,,,,
Process101,5,0.947368421,0.947368421,0.863095238,0.964231818,0.605,,,,
Process101,5,0.752136752,0.752136752,0.825747126,0.960747826,0.585,,,,
Process101,5,0.884955752,0.884955752,0.869768116,0.973659091,0.515,,,,
Process101,5,0.881355932,0.881355932,0.854,0.967034043,0.64,,,,
Process101,5,0.831858407,0.831858407,0.817777778,0.961773333,0.655,,,,
Process101,5,0.907563025,0.907563025,0.895481671,0.975997826,0.615,,,,
Process101,5,0.918918919,0.918918919,0.893162055,0.976847727,0.49,,,,
Process101,5,0.862385321,0.862385321,0.858522727,0.970371429,0.57,,,,
Process101,5,0.773109244,0.773109244,0.858676173,0.968686667,0.455,,,,
Process101,5,0.715447154,0.715447154,0.78913324,0.949382979,0.595,,,,
Process101,5,0.830508475,0.830508475,0.854166667,0.968704348,0.655,,,,
Process101,5,0.737864078,0.737864078,0.780374396,0.952193023,0.375,,,,
Process101,5,0.956521739,0.956521739,0.919047619,0.981302174,0.72,,,,
Process101,5,0.879310345,0.879310345,0.842625,0.96584,0.685,,,,
Process101,5,0.793103448,0.793103448,0.812333333,0.95872766,0.495,,,,
Process101,5,0.904347826,0.904347826,0.870738636,0.96706,0.665,,,,
Process101,5,0.849557522,0.849557522,0.803041667,0.954665909,0.635,,,,
Process101,5,0.785714286,0.785714286,0.808760684,0.956757778,0.505,,,,
Process101,5,0.918918919,0.918918919,0.835822511,0.961875,0.705,,,,
Process101,5,0.859504132,0.859504132,0.81825641,0.958316667,0.645,,,,
Process101,5,0.87394958,0.87394958,0.800197964,0.951978723,0.55,,,,
Process101,5,0.857142857,0.857142857,0.832666667,0.964077778,0.55,,,,
Process101,5,0.747826087,0.747826087,0.766722222,0.946293478,0.535,,,,
Process101,5,0.916666667,0.916666667,0.875059783,0.9695,0.635,,,,
Process101,5,0.810810811,0.810810811,0.78913555,0.952393478,0.67,,,,
Process101,5,0.907563025,0.907563025,0.871059783,0.968008889,0.705,,,,
Process101,5,0.859649123,0.859649123,0.829871795,0.964348889,0.645,,,,
Process101,5,0.859649123,0.859649123,0.840625,0.963806667,0.635,,,,
Process101,5,0.92173913,0.92173913,0.892261905,0.978119565,0.485,,,,
Process101,5,0.820512821,0.820512821,0.800315789,0.952923913,0.7,,,,
Process101,5,0.957264957,0.957264957,0.926190476,0.980373913,0.69,,,,
Process101,5,0.810344828,0.810344828,0.818316239,0.960414894,0.49,,,,
Process101,5,0.743362832,0.743362832,0.758308316,0.946823913,0.67,,,,
Process101,5,0.894736842,0.894736842,0.894355237,0.973797727,0.495,,,,
Process101,5,0.844827586,0.844827586,0.863111111,0.970030435,0.63,,,,
Process101,6,0.743362832,0.743362832,0.790695489,0.952555556,0.475,,,,
Process101,6,0.8,0.8,0.819204678,0.958597872,0.63,,,,
Process101,6,0.786324786,0.786324786,0.834649123,0.964328261,0.62,,,,
Process101,6,0.830508475,0.830508475,0.802429864,0.953984783,0.52,,,,
Process101,6,0.688,0.688,0.749262012,0.940016667,0.685,,,,
Process101,6,0.881355932,0.881355932,0.8495,0.96716383,0.565,,,,
Process101,6,0.732142857,0.732142857,0.813314536,0.960084783,0.45,,,,
Process101,6,0.551724138,0.551724138,0.766666667,0.941386957,0.53,,,,
Process101,6,0.834782609,0.834782609,0.921719457,0.982115909,0.605,,,,
Process101,6,0.717948718,0.717948718,0.841467391,0.964077778,0.53,,,,
Process101,6,0.739495798,0.739495798,0.794913793,0.950657778,0.615,,,,
Process101,6,0.925925926,0.925925926,0.927922078,0.984962791,0.615,,,,
Process101,6,0.896551724,0.896551724,0.861391304,0.968721277,0.625,,,,
Process101,6,0.818181818,0.818181818,0.788541667,0.9512,0.62,,,,
Process101,6,0.896551724,0.896551724,0.864227273,0.967812766,0.595,,,,
Process101,6,0.844827586,0.844827586,0.864745098,0.969234783,0.445,,,,
Process101,6,0.672413793,0.672413793,0.765922619,0.944964444,0.55,,,,
Process101,6,0.765217391,0.765217391,0.778538462,0.947752174,0.445,,,,
Process101,6,0.817391304,0.817391304,0.817122172,0.961453191,0.59,,,,
Process101,6,0.828828829,0.828828829,0.801041667,0.952586364,0.455,,,,
Process101,6,0.700854701,0.700854701,0.775725806,0.94754,0.465,,,,
Process101,6,0.876033058,0.876033058,0.881958333,0.970295652,0.58,,,,
Process101,6,0.834782609,0.834782609,0.796038462,0.955178261,0.615,,,,
Process101,6,0.819047619,0.819047619,0.813068182,0.961366667,0.665,,,,
Process101,6,0.918918919,0.918918919,0.865372671,0.968506977,0.535,,,,
Process101,6,0.566037736,0.566037736,0.731209359,0.935027907,0.405,,,,
Process101,6,0.775862069,0.775862069,0.756376518,0.94276383,0.49,,,,
Process101,6,0.782608696,0.782608696,0.834803922,0.963532609,0.6,,,,
Process101,6,0.769230769,0.769230769,0.802684211,0.956261702,0.48,,,,
Process101,6,0.779661017,0.779661017,0.805315789,0.957170213,0.565,,,,
Process101,6,0.842975207,0.842975207,0.837371041,0.961323404,0.665,,,,
Process101,6,0.793103448,0.793103448,0.845641026,0.964726087,0.47,,,,
Process101,6,0.920353982,0.920353982,0.873214286,0.969771111,0.55,,,,
Process101,6,0.867256637,0.867256637,0.898467391,0.979531111,0.71,,,,
Process101,6,0.770491803,0.770491803,0.784065934,0.949166667,0.58,,,,
Process101,6,0.879310345,0.879310345,0.823494565,0.95836087,0.655,,,,
Process101,6,0.769230769,0.769230769,0.799019157,0.956521277,0.4,,,,
Process101,6,0.706896552,0.706896552,0.781666667,0.948082222,0.485,,,,
Process101,6,0.871794872,0.871794872,0.777113527,0.946116667,0.58,,,,
Process101,6,0.724137931,0.724137931,0.785052632,0.952238298,0.565,,,,
Process101,6,0.74137931,0.74137931,0.793463602,0.953017021,0.425,,,,
Process101,6,0.760330579,0.760330579,0.745210486,0.943481633,0.625,,,,
