model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,swapActivities,,GED,CNE,Jaccard,W-GED,LCS
Process25,0,0,0,2,2,3,3,10,0.259259259,0.259259259,0.568203877,0.56097561,0.4075
Process25,0,0,0,2,3,0,0,5,0.803571429,0.803571429,0.762091242,0.86440678,0.59
Process25,0,0,0,2,3,0,1,6,0.509433962,0.509433962,0.635058442,0.71559633,0.5825
Process25,0,0,0,2,3,0,2,7,0.407407407,0.407407407,0.605590566,0.65258216,0.4075
Process25,0,0,0,2,3,0,3,8,0.392523364,0.392523364,0.603918467,0.646226415,0.365
Process25,0,0,0,2,3,1,0,6,0.618181818,0.618181818,0.673708884,0.768888889,0.6525
Process25,0,0,0,2,3,1,1,7,0.691588785,0.691588785,0.704866221,0.811403509,0.5625
Process25,0,0,0,2,3,1,2,8,0.358490566,0.358490566,0.592029435,0.628571429,0.515
Process25,0,0,0,2,3,1,3,9,0.547169811,0.547169811,0.652517483,0.736363636,0.5275
Process25,0,0,0,2,3,2,0,7,0.472727273,0.472727273,0.626066757,0.686635945,0.47
Process25,0,0,0,2,3,2,1,8,0.550458716,0.550458716,0.650710554,0.733031674,0.5375
Process25,0,0,0,2,3,2,2,9,0.448598131,0.448598131,0.616502331,0.679069767,0.4625
Process25,0,0,0,2,3,2,3,10,0.504854369,0.504854369,0.637134717,0.718894009,0.21
Process25,0,0,0,2,3,3,0,8,0.587155963,0.587155963,0.662053613,0.753363229,0.635
Process25,0,0,0,2,3,3,1,9,0.697247706,0.697247706,0.708889516,0.812227074,0.4325
Process25,0,0,0,2,3,3,2,10,0.365384615,0.365384615,0.595192807,0.638095238,0.38
Process25,0,0,0,2,3,3,3,11,0.293577982,0.293577982,0.576314394,0.579710145,0.39
Process25,0,0,0,3,0,0,0,3,0.612612613,0.612612613,0.629794372,0.753191489,0.61
Process25,0,0,0,3,0,0,1,4,0.576576577,0.576576577,0.61712963,0.733905579,0.4825
Process25,0,0,0,3,0,0,2,5,0.429906542,0.429906542,0.569987179,0.660714286,0.4725
Process25,0,0,0,3,0,0,3,6,0.376237624,0.376237624,0.550666667,0.645454545,0.3975
Process25,0,0,0,3,0,1,0,4,0.690909091,0.690909091,0.65968042,0.794979079,0.5625
Process25,0,0,0,3,0,1,1,5,0.351851852,0.351851852,0.546545977,0.613636364,0.4175
