model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,GED,,
Process101,0,0,1,0,2,1,3,7,0.384
Process101,0,0,1,0,2,2,0,5,0.526
Process101,0,0,1,0,2,2,1,6,0.559
Process101,0,0,1,0,2,2,2,7,0.551
Process101,0,0,1,0,2,2,3,8,0.568
Process101,0,0,1,0,2,3,0,6,0.488
Process101,0,0,1,0,2,3,1,7,0.477
Process101,0,0,1,0,2,3,2,8,0.54
Process101,0,0,1,0,2,3,3,9,0.423
Process101,0,0,1,0,3,0,0,4,0.607
Process101,0,0,1,0,3,0,1,5,0.692
Process101,0,0,1,0,3,0,2,6,0.567
Process101,0,0,1,0,3,0,3,7,0.469
Process101,0,0,1,0,3,1,0,5,0.667
Process101,0,0,1,0,3,1,1,6,0.492
Process101,0,0,1,0,3,1,2,7,0.499
Process101,0,0,1,0,3,1,3,8,0.492
Process101,0,0,1,0,3,2,0,6,0.623
Process101,0,0,1,0,3,2,1,7,0.665
Process101,0,0,1,0,3,2,2,8,0.367
Process101,0,0,1,0,3,2,3,9,0.384
Process101,0,0,1,0,3,3,0,7,0.569
Process101,0,0,1,0,3,3,1,8,0.37
Process101,0,0,1,0,3,3,2,9,0.508
Process101,0,0,1,0,3,3,3,10,0.424
Process101,0,0,1,1,0,0,0,2,0.488
Process101,0,0,1,1,0,0,1,3,0.51
Process101,0,0,1,1,0,0,2,4,0.571
Process101,0,0,1,1,0,0,3,5,0.558
Process101,0,0,1,1,0,1,0,3,0.49
Process101,0,0,1,1,0,1,1,4,0.558
Process101,0,0,1,1,0,1,2,5,0.513
Process101,0,0,1,1,0,1,3,6,0.438
Process101,0,0,1,1,0,2,0,4,0.577
Process101,0,0,1,1,0,2,1,5,0.441
Process101,0,0,1,1,0,2,2,6,0.552
Process101,0,0,1,1,0,2,3,7,0.424
Process101,0,0,1,1,0,3,0,5,0.55
Process101,0,0,1,1,0,3,1,6,0.406
Process101,0,0,1,1,0,3,2,7,0.419
Process101,0,0,1,1,0,3,3,8,0.522
Process101,0,0,1,1,1,0,0,3,0.586
Process101,0,0,1,1,1,0,1,4,0.518
Process101,0,0,1,1,1,0,2,5,0.55
Process101,0,0,1,1,1,0,3,6,0.583
Process101,0,0,1,1,1,1,0,4,0.537
Process101,0,0,1,1,1,1,1,5,0.454
Process101,0,0,1,1,1,1,2,6,0.462
Process101,0,0,1,1,1,1,3,7,0.518
Process101,0,0,1,1,1,2,0,5,0.589
Process101,0,0,1,1,1,2,1,6,0.5
Process101,0,0,1,1,1,2,2,7,0.376
Process101,0,0,1,1,1,2,3,8,0.469
Process101,0,0,1,1,1,3,0,6,0.674
Process101,0,0,1,1,1,3,1,7,0.516
Process101,0,0,1,1,1,3,2,8,0.603
Process101,0,0,1,1,1,3,3,9,0.467
Process101,0,0,1,1,2,0,0,4,0.67
Process101,0,0,1,1,2,0,1,5,0.503
Process101,0,0,1,1,2,0,2,6,0.282
Process101,0,0,1,1,2,0,3,7,0.439
Process101,0,0,1,1,2,1,0,5,0.465
