model;addActSerial;addActParallel;deleteAct;replaceAct;addConst;removeConst;swapAct;GED; CNE; Jaccard
Process101;0;0;0;1;1;2;2;0.9111111111111111;0.7368421052631579;0.8495031055900621
Process101;0;0;0;1;1;2;3;0.8888888888888888;0.631578947368421;0.8235507246376812
Process101;0;0;0;1;1;3;0;0.9588888888888889;0.9026548672566371;0.922463768115942
Process101;0;0;0;1;1;3;1;0.93;0.7964601769911505;0.8739780750650317
Process101;0;0;0;1;1;3;2;0.9188888888888889;0.7610619469026548;0.8584922451055175
Process101;0;0;0;1;1;3;3;0.8833333333333333;0.6371681415929203;0.8175634323600663
Process101;0;0;0;1;2;0;0;0.9677777777777777;0.9401709401709402;0.9422060276679842
Process101;0;0;0;1;2;0;1;0.9466666666666667;0.8793103448275862;0.9047173913043478
Process101;0;0;0;1;2;0;2;0.8922222222222222;0.7008547008547008;0.8345923913043478
Process101;0;0;0;1;2;0;3;0.8922222222222222;0.6837606837606838;0.8334465579710145
Process101;0;0;0;1;2;1;0;0.9544444444444444;0.896551724137931;0.9177173913043478
Process101;0;0;0;1;2;1;1;0.9277777777777778;0.8103448275862069;0.8753481102585963
Process101;0;0;0;1;2;1;2;0.9166666666666666;0.7413793103448276;0.8577173913043479
Process101;0;0;0;1;2;1;3;0.8922222222222222;0.7130434782608696;0.8351826690821256
