model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,swapAct,GED, CNE, Jaccard
Process101,0,0,0,1,2,3,3,0.631578947368421,0.631578947368421,0.8239130434782609
Process101,0,0,0,1,3,0,0,0.8717948717948718,0.8717948717948718,0.9100703324808184
Process101,0,0,0,1,3,0,1,0.8448275862068966,0.8448275862068966,0.8898780247885107
Process101,0,0,0,1,3,0,2,0.7627118644067796,0.7627118644067796,0.8613153949341119
Process101,0,0,0,1,3,0,3,0.6440677966101696,0.6440677966101694,0.8257287549407115
Process101,0,0,0,1,3,1,0,0.896551724137931,0.896551724137931,0.9179028132992327
Process101,0,0,0,1,3,1,1,0.8034188034188035,0.8034188034188035,0.8812092941383559
Process101,0,0,0,1,3,1,2,0.7863247863247863,0.7863247863247863,0.8735507246376812
Process101,0,0,0,1,3,1,3,0.5982905982905983,0.5982905982905983,0.8154048913043479
Process101,0,0,0,1,3,2,0,0.9137931034482758,0.9137931034482759,0.9259420289855073
Process101,0,0,0,1,3,2,1,0.8448275862068966,0.8448275862068966,0.8927173913043478
Process101,0,0,0,1,3,2,2,0.7636363636363637,0.7636363636363637,0.8554134697357204
Process101,0,0,0,1,3,2,3,0.7652173913043478,0.7652173913043478,0.8574587706146927
Process101,0,0,0,1,3,3,0,0.8695652173913043,0.8695652173913043,0.9120923913043478
Process101,0,0,0,1,3,3,1,0.8,0.8,0.8725703324808185
Process101,0,0,0,1,3,3,2,0.6842105263157895,0.6842105263157895,0.8352173913043479
Process101,0,0,0,1,3,3,3,0.6603773584905661,0.660377358490566,0.8286676837020086
Process101,0,0,0,2,0,0,0,0.9482758620689655,0.9482758620689655,0.9072463768115943
Process101,0,0,0,2,0,0,1,0.7413793103448276,0.7413793103448276,0.8303030303030303
Process101,0,0,0,2,0,0,2,0.7586206896551724,0.7586206896551724,0.8283333333333334
Process101,0,0,0,2,0,0,3,0.7758620689655172,0.7758620689655172,0.8320175438596492
Process101,0,0,0,2,0,1,0,0.8869565217391304,0.8869565217391304,0.8726666666666667
Process101,0,0,0,2,0,1,1,0.7478260869565218,0.7478260869565218,0.8183333333333334
Process101,0,0,0,2,0,1,2,0.7130434782608696,0.7130434782608696,0.8120689655172414
Process101,0,0,0,2,0,1,3,0.5913043478260869,0.591304347826087,0.7780303030303031
Process101,0,0,0,2,0,2,0,0.8596491228070176,0.8596491228070176,0.865686274509804
Process101,0,0,0,2,0,2,1,0.7719298245614035,0.7719298245614035,0.8292397660818714
Process101,0,0,0,2,0,2,2,0.7636363636363637,0.7636363636363637,0.8247863247863249
Process101,0,0,0,2,0,2,3,0.5714285714285714,0.5714285714285714,0.7760430107526882
Process101,0,0,0,2,0,3,0,0.831858407079646,0.831858407079646,0.8558039215686275
Process101,0,0,0,2,0,3,1,0.7433628318584071,0.7433628318584071,0.8261111111111111
Process101,0,0,0,2,0,3,2,0.5132743362831859,0.5132743362831859,0.7562500000000001
Process101,0,0,0,2,0,3,3,0.7433628318584071,0.7433628318584071,0.8127450980392157
Process101,0,0,0,2,1,0,0,0.8376068376068376,0.8376068376068376,0.8631111111111112
Process101,0,0,0,2,1,0,1,0.717948717948718,0.717948717948718,0.810243350311262
Process101,0,0,0,2,1,0,2,0.7008547008547008,0.7008547008547008,0.81
Process101,0,0,0,2,1,0,3,0.6495726495726496,0.6495726495726496,0.7897058823529413
Process101,0,0,0,2,1,1,0,0.9137931034482758,0.9137931034482759,0.8922619047619048
Process101,0,0,0,2,1,1,1,0.7413793103448276,0.7413793103448276,0.8258333333333334
Process101,0,0,0,2,1,1,2,0.7241379310344828,0.7241379310344828,0.8226190476190477
Process101,0,0,0,2,1,1,3,0.5517241379310345,0.5517241379310345,0.765036231884058
Process101,0,0,0,2,1,2,0,0.9217391304347826,0.9217391304347826,0.897153209109731
Process101,0,0,0,2,1,2,1,0.7652173913043478,0.7652173913043478,0.8305555555555556
Process101,0,0,0,2,1,2,2,0.7304347826086957,0.7304347826086957,0.8139140955837871
Process101,0,0,0,2,1,2,3,0.6782608695652175,0.6782608695652174,0.8026190476190477
Process101,0,0,0,2,1,3,0,0.8947368421052632,0.8947368421052632,0.8817028985507247
Process101,0,0,0,2,1,3,1,0.8245614035087719,0.8245614035087719,0.8548611111111112
Process101,0,0,0,2,1,3,2,0.6666666666666667,0.6666666666666666,0.7926634768740033
Process101,0,0,0,2,1,3,3,0.7017543859649122,0.7017543859649122,0.8130747126436783
Process101,0,0,0,2,2,0,0,0.8813559322033898,0.8813559322033898,0.8833333333333334
Process101,0,0,0,2,2,0,1,0.7627118644067796,0.7627118644067796,0.8320175438596492
Process101,0,0,0,2,2,0,2,0.6271186440677966,0.6271186440677966,0.787878787878788
Process101,0,0,0,2,2,0,3,0.6666666666666667,0.6666666666666666,0.7942424242424243
Process101,0,0,0,2,2,1,0,0.8205128205128205,0.8205128205128205,0.8486111111111112
Process101,0,0,0,2,2,1,1,0.7692307692307692,0.7692307692307693,0.8377192982456141
Process101,0,0,0,2,2,1,2,0.5811965811965811,0.5811965811965812,0.7804924242424243
Process101,0,0,0,2,2,1,3,0.6206896551724138,0.6206896551724138,0.7851119894598156
Process101,0,0,0,2,2,2,0,0.7931034482758621,0.7931034482758621,0.8335632183908046
Process101,0,0,0,2,2,2,1,0.7241379310344828,0.7241379310344828,0.8176190476190477
Process101,0,0,0,2,2,2,2,0.6666666666666667,0.6666666666666666,0.795
Process101,0,0,0,2,2,2,3,0.782608695652174,0.782608695652174,0.8409244264507423
Process101,0,0,0,2,2,3,0,0.9217391304347826,0.9217391304347826,0.9057359307359308
Process101,0,0,0,2,2,3,1,0.7192982456140351,0.7192982456140351,0.8166666666666668
Process101,0,0,0,2,2,3,2,0.7787610619469026,0.7787610619469026,0.8305555555555556
Process101,0,0,0,2,2,3,3,0.5964912280701755,0.5964912280701754,0.7765151515151516
Process101,0,0,0,2,3,0,0,0.8983050847457628,0.8983050847457628,0.8891666666666667
Process101,0,0,0,2,3,0,1,0.7394957983193278,0.7394957983193278,0.824258923169994
Process101,0,0,0,2,3,0,2,0.6782608695652175,0.6782608695652174,0.7998850574712644
Process101,0,0,0,2,3,0,3,0.6779661016949152,0.6779661016949152,0.8015625000000001
Process101,0,0,0,2,3,1,0,0.9152542372881356,0.9152542372881356,0.9071969696969697
Process101,0,0,0,2,3,1,1,0.7627118644067796,0.7627118644067796,0.834795321637427
Process101,0,0,0,2,3,1,2,0.9152542372881356,0.9152542372881356,0.9096969696969698
Process101,0,0,0,2,3,1,3,0.6666666666666667,0.6666666666666666,0.7905928614640049
Process101,0,0,0,2,3,2,0,0.8547008547008547,0.8547008547008547,0.8739583333333334
Process101,0,0,0,2,3,2,1,0.7521367521367521,0.7521367521367521,0.8292397660818714
Process101,0,0,0,2,3,2,2,0.6324786324786325,0.6324786324786325,0.7898065476190477
Process101,0,0,0,2,3,2,3,0.6324786324786325,0.6324786324786325,0.7966666666666667
Process101,0,0,0,2,3,3,0,0.9391304347826087,0.9391304347826087,0.9154761904761906
Process101,0,0,0,2,3,3,1,0.8495575221238938,0.8495575221238938,0.86375
Process101,0,0,0,2,3,3,2,0.6551724137931034,0.6551724137931034,0.7921875
Process101,0,0,0,2,3,3,3,0.5964912280701755,0.5964912280701754,0.7845833333333334
Process101,0,0,0,3,0,0,0,0.8376068376068376,0.8376068376068376,0.828660633484163
Process101,0,0,0,3,0,0,1,0.7008547008547008,0.7008547008547008,0.7848777429467085
Process101,0,0,0,3,0,0,2,0.5982905982905983,0.5982905982905983,0.7476363636363637
Process101,0,0,0,3,0,0,3,0.6324786324786325,0.6324786324786325,0.7559607843137256
Process101,0,0,0,3,0,1,0,0.7758620689655172,0.7758620689655172,0.8083859649122808
Process101,0,0,0,3,0,1,1,0.7413793103448276,0.7413793103448276,0.7965000000000001
Process101,0,0,0,3,0,1,2,0.6551724137931034,0.6551724137931034,0.7660234604105572
Process101,0,0,0,3,0,1,3,0.631578947368421,0.631578947368421,0.7589120234604106
Process101,0,0,0,3,0,2,0,0.817391304347826,0.8173913043478261,0.819950226244344
Process101,0,0,0,3,0,2,1,0.8,0.8,0.8079080459770116
