model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,swapAct,,GED-Similarity
Process25,0,0,1,3,2,1,1,8,0.607843137
Process25,0,0,1,3,2,1,2,9,0.37037037
Process25,0,0,1,3,2,1,3,10,0.366972477
Process25,0,0,1,3,2,2,0,8,0.672897196
Process25,0,0,1,3,2,2,1,9,0.431372549
Process25,0,0,1,3,2,2,2,10,0.297029703
Process25,0,0,1,3,2,2,3,11,0.319148936
Process25,0,0,1,3,2,3,0,9,0.466019417
Process25,0,0,1,3,2,3,1,10,0.387755102
Process25,0,0,1,3,2,3,2,11,0.470588235
Process25,0,0,1,3,2,3,3,12,0.24742268
Process25,0,0,1,3,3,0,0,7,0.660714286
Process25,0,0,1,3,3,0,1,8,0.355140187
Process25,0,0,1,3,3,0,2,9,0.513761468
Process25,0,0,1,3,3,0,3,10,0.356435644
Process25,0,0,1,3,3,1,0,8,0.598130841
Process25,0,0,1,3,3,1,1,9,0.514851485
Process25,0,0,1,3,3,1,2,10,0.388888889
Process25,0,0,1,3,3,1,3,11,0.384615385
Process25,0,0,1,3,3,2,0,9,0.579439252
Process25,0,0,1,3,3,2,1,10,0.314814815
Process25,0,0,1,3,3,2,2,11,0.395833333
Process25,0,0,1,3,3,2,3,12,0.205607477
Process25,0,0,1,3,3,3,0,10,0.605504587
Process25,0,0,1,3,3,3,1,11,0.373831776
Process25,0,0,1,3,3,3,2,12,0.384615385
Process25,0,0,1,3,3,3,3,13,0.283018868
Process25,0,0,2,0,0,0,0,2,0.75862069
Process25,0,0,2,0,0,0,1,3,0.736842105
Process25,0,0,2,0,0,0,2,4,0.469387755
Process25,0,0,2,0,0,0,3,5,0.344086022
Process25,0,0,2,0,0,1,0,3,0.744186047
Process25,0,0,2,0,0,1,1,4,0.701030928
Process25,0,0,2,0,0,1,2,5,0.543478261
Process25,0,0,2,0,0,1,3,6,0.708333333
Process25,0,0,2,0,0,2,0,4,0.729411765
Process25,0,0,2,0,0,2,1,5,0.612244898
Process25,0,0,2,0,0,2,2,6,0.375
Process25,0,0,2,0,0,2,3,7,0.525252525
Process25,0,0,2,0,0,3,0,5,0.897959184
Process25,0,0,2,0,0,3,1,6,0.651685393
Process25,0,0,2,0,0,3,2,7,0.302325581
Process25,0,0,2,0,0,3,3,8,0.355555556
Process25,0,0,2,0,1,0,0,3,0.9
Process25,0,0,2,0,1,0,1,4,0.652631579
Process25,0,0,2,0,1,0,2,5,0.44
Process25,0,0,2,0,1,0,3,6,0.434782609
Process25,0,0,2,0,1,1,0,4,0.865979381
Process25,0,0,2,0,1,1,1,5,0.538461538
