sep=,
addActSerial,addActParallel,replaceAct,addConst,swapActivities,totalChanges,GED,LCS
1,0,1,2,1,5,0.9090909090909091,0.47920112179373897
1,0,1,2,2,6,0.8464730290456431,0.4453925662724849
1,0,1,2,3,7,0.8381742738589212,0.4585303642837755
1,0,1,3,0,5,0.9377593360995851,0.4800001465122433
1,0,1,3,1,6,0.875,0.3933950353253305
1,0,1,3,2,7,0.8416666666666667,0.462079336072161
1,0,1,3,3,8,0.8215767634854771,0.4011042425649374
1,0,2,0,0,3,0.9128630705394191,0.4625833731958373
1,0,2,0,1,4,0.8215767634854771,0.4329375923195832
1,0,2,0,2,5,0.7966804979253113,0.4501429231312828
1,0,2,0,3,6,0.825,0.4613474164157113
1,0,2,1,0,4,0.9377593360995851,0.45601797681966416
1,0,2,1,1,5,0.9128630705394191,0.4683135601342924
1,0,2,1,2,6,0.7883817427385892,0.44269903376727326
1,0,2,1,3,7,0.7866108786610879,0.4096909156785026
1,0,2,2,0,5,0.9338842975206612,0.4733042891009791
1,0,2,2,1,6,0.831275720164609,0.41964728262169715
1,0,2,2,2,7,0.8148148148148149,0.41863626854258806
1,0,2,2,3,8,0.8016528925619835,0.43862931631242197
1,0,2,3,0,6,0.8852459016393442,0.47003763668368803
1,0,2,3,1,7,0.8347107438016529,0.45541888944716835
1,0,2,3,2,8,0.8264462809917356,0.4416000154645503
