sep=,
model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,swapActivities,GED,LCS,BehavioralProfile
ResearchPaper1,0,0,0,1,3,1,1,0.7433628318584071,1.0,0.35412026726057905
ResearchPaper1,0,0,0,1,3,1,2,0.6428571428571428,1.0,0.7926356589147286
ResearchPaper1,0,0,0,1,3,1,3,0.4601769911504425,1.0,0.78125
ResearchPaper1,0,0,0,1,3,2,0,0.8909090909090909,1.0,0.8673469387755102
ResearchPaper1,0,0,0,1,3,2,1,0.7321428571428572,1.0,0.5878260869565217
ResearchPaper1,0,0,0,1,3,2,2,0.6071428571428572,1.0,0.6636197440585009
ResearchPaper1,0,0,0,1,3,2,3,0.5825242718446602,1.0,0.4176470588235294
ResearchPaper1,0,0,0,1,3,3,0,0.8288288288288288,1.0,0.39556135770234985
ResearchPaper1,0,0,0,1,3,3,1,0.7387387387387387,1.0,0.8380566801619433
ResearchPaper1,0,0,0,1,3,3,2,0.7155963302752293,1.0,0.7212806026365348
ResearchPaper1,0,0,0,1,3,3,3,0.5225225225225225,1.0,0.7642436149312377
ResearchPaper1,0,0,0,2,0,0,0,0.8571428571428572,1.0,0.762962962962963
ResearchPaper1,0,0,0,2,0,0,1,0.7090909090909091,1.0,0.6954887218045113
ResearchPaper1,0,0,0,2,0,0,2,0.5535714285714286,1.0,0.7153153153153153
ResearchPaper1,0,0,0,2,0,0,3,0.7358490566037736,1.0,0.7417582417582418
ResearchPaper1,0,0,0,2,0,1,0,0.8468468468468469,1.0,0.7662337662337663
ResearchPaper1,0,0,0,2,0,1,1,0.7387387387387387,1.0,0.437414030261348
ResearchPaper1,0,0,0,2,0,1,2,0.5585585585585586,1.0,0.6308724832214765
ResearchPaper1,0,0,0,2,0,1,3,0.5333333333333333,1.0,0.6921641791044776
ResearchPaper1,0,0,0,2,0,2,0,0.8181818181818181,1.0,0.722117202268431
ResearchPaper1,0,0,0,2,0,2,1,0.7272727272727273,1.0,0.7012522361359571
ResearchPaper1,0,0,0,2,0,2,2,0.6727272727272727,1.0,0.6790123456790124
ResearchPaper1,0,0,0,2,0,2,3,0.5283018867924528,1.0,0.61082910321489
ResearchPaper1,0,0,0,2,0,3,0,0.7706422018348624,1.0,0.7300380228136882
ResearchPaper1,0,0,0,2,0,3,1,0.6972477064220184,1.0,0.6962962962962963
ResearchPaper1,0,0,0,2,0,3,2,0.6422018348623852,1.0,0.45296671490593343
ResearchPaper1,0,0,0,2,0,3,3,0.5142857142857142,1.0,0.5724137931034483
ResearchPaper1,0,0,0,2,1,0,0,0.8495575221238938,1.0,0.7695167286245354
ResearchPaper1,0,0,0,2,1,0,1,0.7619047619047619,1.0,0.422316384180791
ResearchPaper1,0,0,0,2,1,0,2,0.831858407079646,1.0,0.7300380228136882
ResearchPaper1,0,0,0,2,1,0,3,0.5535714285714286,1.0,0.6431034482758621
ResearchPaper1,0,0,0,2,1,1,0,0.8035714285714286,1.0,0.7625231910946196
ResearchPaper1,0,0,0,2,1,1,1,0.6666666666666667,1.0,0.7241379310344828
ResearchPaper1,0,0,0,2,1,1,2,0.5714285714285714,1.0,0.7264492753623188
ResearchPaper1,0,0,0,2,1,1,3,0.6428571428571428,1.0,0.595
ResearchPaper1,0,0,0,2,1,2,0,0.7927927927927928,1.0,0.3058485139022052
