sep=,
model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,swapActivities,GED,CNE,Jaccard,W-GED,LCS
ProcessD,0,0,0,1,1,3,2,0.825531914893617,0.825531914893617,0.884766823952365,0.9512195121951219,0.4150000000000001
ProcessD,0,0,0,1,1,3,3,0.8,0.8,0.8088269005847953,0.9446808510638298,0.3750000000000001
ProcessD,0,0,0,1,2,0,0,0.9790794979079498,0.9790794979079498,0.9757676767676767,0.9896157840083074,0.41000000000000003
ProcessD,0,0,0,1,2,0,1,0.9288702928870293,0.9288702928870293,0.9480990200727043,0.9770114942528736,0.4075000000000001
ProcessD,0,0,0,1,2,0,2,0.8991596638655462,0.8991596638655462,0.8961565656565657,0.9695697796432319,0.395
ProcessD,0,0,0,1,2,0,3,0.8739495798319328,0.8739495798319328,0.8633574622831589,0.9631578947368421,0.3950000000000001
ProcessD,0,0,0,1,2,1,0,0.9451476793248945,0.9451476793248945,0.9225131578947368,0.9812108559498957,0.36
ProcessD,0,0,0,1,2,1,1,0.9316239316239316,0.9316239316239316,0.8987823826500296,0.9780104712041885,0.40750000000000003
ProcessD,0,0,0,1,2,1,2,0.8571428571428572,0.8571428571428571,0.871003031547654,0.9588607594936709,0.36250000000000004
ProcessD,0,0,0,1,2,1,3,0.7899159663865546,0.7899159663865546,0.8387931289871905,0.9414893617021276,0.41000000000000003
ProcessD,0,0,0,1,2,2,0,0.9535864978902954,0.9535864978902954,0.9501015417331207,0.9833159541188738,0.39000000000000007
ProcessD,0,0,0,1,2,2,1,0.8607594936708861,0.8607594936708861,0.8382739898989899,0.959915611814346,0.41500000000000004
ProcessD,0,0,0,1,2,2,2,0.9152542372881356,0.9152542372881356,0.9417777777777778,0.9737945492662474,0.345
ProcessD,0,0,0,1,2,2,3,0.788135593220339,0.788135593220339,0.8599036012296881,0.9414270500532481,0.3775
ProcessD,0,0,0,1,2,3,0,0.9576271186440678,0.9576271186440678,0.9476010101010102,0.9843587069864442,0.38
