model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,swapActivities,,GED,CNE,Jaccard,W-GED,LCS,,,
Process101,0,0,0,1,3,3,1,8,0.824561404,0.824561404,0.912792642,0.929230769,0.5275,,,
Process101,0,0,0,1,3,3,2,9,0.8,0.8,0.780869565,0.919753086,0.5625,,,
Process101,0,0,0,1,3,3,3,10,0.684210526,0.684210526,0.686869565,0.876971609,0.5475,,,
Process101,0,0,0,2,0,0,0,2,0.931034483,0.931034483,0.924398551,0.958661417,0.74,,,
Process101,0,0,0,2,0,0,1,3,0.655172414,0.655172414,0.853863636,0.857438017,0.595,,,
Process101,0,0,0,2,0,0,2,4,0.824561404,0.824561404,0.887324561,0.92160804,0.5525,,,
Process101,0,0,0,2,0,0,3,5,0.701754386,0.701754386,0.858971861,0.876796715,0.4025,,,
Process101,0,0,0,2,0,1,0,3,0.886956522,0.886956522,0.910966667,0.943396226,0.6375,,,
Process101,0,0,0,2,0,1,1,4,0.747826087,0.747826087,0.870536903,0.89318413,0.5575,,,
Process101,0,0,0,2,0,1,2,5,0.660869565,0.660869565,0.851384058,0.86053719,0.6175,,,
Process101,0,0,0,2,0,1,3,6,0.690265487,0.690265487,0.856925287,0.873326468,0.56,,,
Process101,0,0,0,2,0,2,0,4,0.859649123,0.859649123,0.899460784,0.934065934,0.585,,,
Process101,0,0,0,2,0,2,1,5,0.789473684,0.789473684,0.880277778,0.908998989,0.56,,,
Process101,0,0,0,2,0,2,2,6,0.701754386,0.701754386,0.858994253,0.876796715,0.49,,,
Process101,0,0,0,2,0,2,3,7,0.561403509,0.561403509,0.836626294,0.823157895,0.4425,,,
Process101,0,0,0,2,0,3,0,5,0.796460177,0.796460177,0.880441176,0.912032356,0.4575,,,
Process101,0,0,0,2,0,3,1,6,0.796460177,0.796460177,0.883055556,0.912032356,0.5825,,,
Process101,0,0,0,2,0,3,2,7,0.707964602,0.707964602,0.86195614,0.879876797,0.5075,,,
Process101,0,0,0,2,0,3,3,8,0.666666667,0.666666667,0.854666667,0.866321244,0.46,,,
