model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,swapActivities,,GED,CNE,Jaccard,W-GED,LCS,,
Process25,0,0,0,2,0,1,3,6,0.303030303,0.303030303,0.574514709,0.461722488,0.4225,,
Process25,0,0,0,2,0,2,0,4,0.592592593,0.592592593,0.662490935,0.680170576,0.5825,,
Process25,0,0,0,2,0,2,1,5,0.388888889,0.388888889,0.599103387,0.504587156,0.41,,
Process25,0,0,0,2,0,2,2,6,0.38,0.38,0.594569264,0.525581395,0.45,,
Process25,0,0,0,2,0,2,3,7,0.358490566,0.358490566,0.592009872,0.48372093,0.465,,
Process25,0,0,0,2,0,3,0,5,0.822429907,0.822429907,0.772483405,0.851485149,0.6,,
Process25,0,0,0,2,0,3,1,6,0.557692308,0.557692308,0.648573556,0.660869565,0.475,,
Process25,0,0,0,2,0,3,2,7,0.568627451,0.568627451,0.655015152,0.673913043,0.4075,,
Process25,0,0,0,2,0,3,3,8,0.383838384,0.383838384,0.597466434,0.53255814,0.48,,
Process25,0,0,0,2,1,0,0,3,0.774774775,0.774774775,0.744833333,0.814741036,0.59,,
Process25,0,0,0,2,1,0,1,4,0.4,0.4,0.600602339,0.542725173,0.35,,
Process25,0,0,0,2,1,0,2,5,0.833333333,0.833333333,0.777483405,0.858267717,0.7075,,
Process25,0,0,0,2,1,0,3,6,0.6,0.6,0.669116809,0.68220339,0.5225,,
Process25,0,0,0,2,1,1,0,4,0.788990826,0.788990826,0.749964427,0.826693227,0.6125,,
Process25,0,0,0,2,1,1,1,5,0.444444444,0.444444444,0.61630321,0.55505618,0.5875,,
Process25,0,0,0,2,1,1,2,6,0.537037037,0.537037037,0.647554945,0.634782609,0.515,,
Process25,0,0,0,2,1,1,3,7,0.380952381,0.380952381,0.597129652,0.508083141,0.255,,
Process25,0,0,0,2,1,2,0,5,0.611111111,0.611111111,0.672969697,0.694915254,0.535,,
Process25,0,0,0,2,1,2,1,6,0.431372549,0.431372549,0.618036891,0.562642369,0.3525,,
Process25,0,0,0,2,1,2,2,7,0.660377358,0.660377358,0.690608974,0.736401674,0.6025,,
Process25,0,0,0,2,1,2,3,8,0.323232323,0.323232323,0.580262512,0.479809976,0.46,,
Process25,0,0,0,2,1,3,0,6,0.796296296,0.796296296,0.755146245,0.832669323,0.625,,
Process25,0,0,0,2,1,3,1,7,0.442307692,0.442307692,0.617865076,0.56561086,0.3875,,
Process25,0,0,0,2,1,3,2,8,0.351851852,0.351851852,0.591463782,0.469767442,0.315,,
Process25,0,0,0,2,1,3,3,9,0.509433962,0.509433962,0.635427239,0.616740088,0.4275,,
Process25,0,0,0,2,2,0,0,4,0.648648649,0.648648649,0.686296296,0.719334719,0.6625,,
Process25,0,0,0,2,2,0,1,5,0.678571429,0.678571429,0.703615152,0.741273101,0.4675,,
Process25,0,0,0,2,2,0,2,6,0.727272727,0.727272727,0.72602381,0.780933063,0.5625,,
Process25,0,0,0,2,2,0,3,7,0.230769231,0.230769231,0.561235582,0.369193154,0.4325,,
Process25,0,0,0,2,2,1,0,5,0.648648649,0.648648649,0.690450089,0.719334719,0.63,,
Process25,0,0,0,2,2,1,1,6,0.454545455,0.454545455,0.619590566,0.558035714,0.48,,
Process25,0,0,0,2,2,1,2,7,0.495412844,0.495412844,0.632991342,0.5969163,0.585,,
Process25,0,0,0,2,2,1,3,8,0.495412844,0.495412844,0.633765152,0.5969163,0.46,,
Process25,0,0,0,2,2,2,0,6,0.709090909,0.709090909,0.714948617,0.767346939,0.555,,
Process25,0,0,0,2,2,2,1,7,0.323809524,0.323809524,0.584895268,0.455188679,0.37,,
Process25,0,0,0,2,2,2,2,8,0.380952381,0.380952381,0.597428945,0.508083141,0.3775,,
Process25,0,0,0,2,2,2,3,9,0.314814815,0.314814815,0.582561129,0.433962264,0.48,,
Process25,0,0,0,2,2,3,0,7,0.623853211,0.623853211,0.678553846,0.703157895,0.62,,
Process25,0,0,0,2,2,3,1,8,0.446601942,0.446601942,0.617409872,0.57239819,0.6075,,
Process25,0,0,0,2,2,3,2,9,0.303030303,0.303030303,0.575691083,0.461722488,0.5375,,
Process25,0,0,0,2,2,3,3,10,0.351851852,0.351851852,0.591816227,0.469767442,0.4825,,
Process25,0,0,0,2,3,0,0,5,0.75,0.75,0.734131094,0.795591182,0.2625,,
Process25,0,0,0,2,3,0,1,6,0.601769912,0.601769912,0.673125,0.677894737,0.495,,
Process25,0,0,0,2,3,0,2,7,0.5,0.5,0.632752331,0.592997812,0.5525,,
Process25,0,0,0,2,3,0,3,8,0.460176991,0.460176991,0.623538251,0.554323725,0.145,,
Process25,0,0,0,2,3,1,0,6,0.862385321,0.862385321,0.794531025,0.877431907,0.6525,,
Process25,0,0,0,2,3,1,1,7,0.666666667,0.666666667,0.692961305,0.733471074,0.655,,
Process25,0,0,0,2,3,1,2,8,0.373831776,0.373831776,0.598983944,0.494226328,0.355,,
Process25,0,0,0,2,3,1,3,9,0.371134021,0.371134021,0.592929179,0.529274005,0.3225,,
Process25,0,0,0,2,3,2,0,7,0.836363636,0.836363636,0.779467754,0.859099804,0.655,,
Process25,0,0,0,2,3,2,1,8,0.47706422,0.47706422,0.629848485,0.580931264,0.47,,
Process25,0,0,0,2,3,2,2,9,0.547169811,0.547169811,0.651931818,0.647826087,0.4675,,
Process25,0,0,0,2,3,2,3,10,0.560747664,0.560747664,0.652683983,0.656587473,0.535,,
Process25,0,0,0,2,3,3,0,8,0.537037037,0.537037037,0.645335664,0.634782609,0.5475,,
Process25,0,0,0,2,3,3,1,9,0.513761468,0.513761468,0.635515487,0.612691466,0.455,,
Process25,0,0,0,2,3,3,2,10,0.373831776,0.373831776,0.596553142,0.494226328,0.4025,,
Process25,0,0,0,2,3,3,3,11,0.623853211,0.623853211,0.680733333,0.703157895,0.6275,,
Process25,0,0,0,3,0,0,0,3,0.648648649,0.648648649,0.645251515,0.71257485,0.6075,,
Process25,0,0,0,3,0,0,1,4,0.486486486,0.486486486,0.585670653,0.582278481,0.49,,
Process25,0,0,0,3,0,0,2,5,0.311926606,0.311926606,0.53595897,0.432432432,0.4225,,
Process25,0,0,0,3,0,0,3,6,0.36036036,0.36036036,0.547854839,0.470198675,0.4675,,
Process25,0,0,0,3,0,1,0,4,0.727272727,0.727272727,0.677459207,0.771929825,0.595,,
Process25,0,0,0,3,0,1,1,5,0.654545455,0.654545455,0.647733933,0.718562874,0.4875,,
Process25,0,0,0,3,0,1,2,6,0.407407407,0.407407407,0.561666667,0.522875817,0.3225,,
Process25,0,0,0,3,0,1,3,7,0.653846154,0.653846154,0.645477602,0.727272727,0.425,,
Process25,0,0,0,3,0,2,0,5,0.513761468,0.513761468,0.596866516,0.610062893,0.475,,
Process25,0,0,0,3,0,2,1,6,0.40776699,0.40776699,0.560685185,0.539473684,0.495,,
Process25,0,0,0,3,0,2,2,7,0.458715596,0.458715596,0.578575415,0.564102564,0.395,,
Process25,0,0,0,3,0,2,3,8,0.291262136,0.291262136,0.530324561,0.438356164,0.36,,
Process25,0,0,0,3,0,3,0,6,0.555555556,0.555555556,0.610358392,0.645962733,0.645,,
Process25,0,0,0,3,0,3,1,7,0.444444444,0.444444444,0.569935897,0.55483871,0.5175,,
Process25,0,0,0,3,0,3,2,8,0.351851852,0.351851852,0.54602517,0.473333333,0.385,,
Process25,0,0,0,3,0,3,3,9,0.339622642,0.339622642,0.541690476,0.469798658,0.3925,,
