model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,swapActivities,,GED,CNE,Jaccard,W-GED,LCS,
Process25,0,0,0,3,0,0,1,4,0.576576577,0.576576577,0.616987179,0.733905579,0.4925,
Process25,0,0,0,3,0,0,2,5,0.378378378,0.378378378,0.554991228,0.621621622,0.41,
Process25,0,0,0,3,0,0,3,6,0.368932039,0.368932039,0.549333333,0.636363636,0.355,
Process25,0,0,0,3,0,1,0,4,0.490909091,0.490909091,0.587181642,0.688596491,0.52,
Process25,0,0,0,3,0,1,1,5,0.309090909,0.309090909,0.536521505,0.582568807,0.435,
Process25,0,0,0,3,0,1,2,6,0.28,0.28,0.525046211,0.595348837,0.4525,
Process25,0,0,0,3,0,1,3,7,0.314814815,0.314814815,0.537098755,0.591743119,0.4225,
Process25,0,0,0,3,0,2,0,5,0.587155963,0.587155963,0.620865801,0.74248927,0.6025,
Process25,0,0,0,3,0,2,1,6,0.642201835,0.642201835,0.640343823,0.771186441,0.575,
Process25,0,0,0,3,0,2,2,7,0.392523364,0.392523364,0.556832449,0.63963964,0.4075,
Process25,0,0,0,3,0,2,3,8,0.280373832,0.280373832,0.527274194,0.574074074,0.51,
Process25,0,0,0,3,0,3,0,6,0.37037037,0.37037037,0.552467419,0.624434389,0.4675,
Process25,0,0,0,3,0,3,1,7,0.574074074,0.574074074,0.613928571,0.737068966,0.6025,
Process25,0,0,0,3,0,3,2,8,0.407407407,0.407407407,0.561368347,0.64573991,0.435,
Process25,0,0,0,3,0,3,3,9,0.31372549,0.31372549,0.5315,0.608294931,0.4925,
Process25,0,0,0,3,1,0,0,4,0.767857143,0.767857143,0.699151515,0.831967213,0.56,
Process25,0,0,0,3,1,0,1,5,0.589285714,0.589285714,0.622830087,0.739316239,0.39,
Process25,0,0,0,3,1,0,2,6,0.4,0.4,0.563821078,0.648648649,0.33,
Process25,0,0,0,3,1,0,3,7,0.61682243,0.61682243,0.629436027,0.760683761,0.5425,
Process25,0,0,0,3,1,1,0,5,0.581818182,0.581818182,0.616108059,0.738197425,0.5325,
Process25,0,0,0,3,1,1,1,6,0.756756757,0.756756757,0.693098485,0.827160494,0.5275,
Process25,0,0,0,3,1,1,2,7,0.504672897,0.504672897,0.592195928,0.701754386,0.495,
Process25,0,0,0,3,1,1,3,8,0.242424242,0.242424242,0.5175,0.577464789,0.3225,
Process25,0,0,0,3,1,2,0,6,0.490909091,0.490909091,0.587001425,0.688596491,0.3975,
Process25,0,0,0,3,1,2,1,7,0.454545455,0.454545455,0.577524581,0.668141593,0.4625,
Process25,0,0,0,3,1,2,2,8,0.326923077,0.326923077,0.538729167,0.610091743,0.3375,
Process25,0,0,0,3,1,2,3,9,0.4,0.4,0.559677858,0.6367713,0.4275,
Process25,0,0,0,3,1,3,0,7,0.642201835,0.642201835,0.647648148,0.771186441,0.2125,
Process25,0,0,0,3,1,3,1,8,0.440366972,0.440366972,0.56987395,0.662222222,0.385,
Process25,0,0,0,3,1,3,2,9,0.475247525,0.475247525,0.580296503,0.697777778,0.4075,
